Cod_municipio;Cod_distrito;Nome_do_distrito;DistOD;NomeDist;ODOrdAlf;NomeIg
3550308;355030801;ÁGUA RASA;1;Água Rasa;1;1
3550308;355030802;ALTO DE PINHEIROS;2;Alto de Pinheiros;1;1
3550308;355030803;ANHANGUERA;3;Anhanguera;1;1
3550308;355030804;ARICANDUVA;4;Aricanduva;1;1
3550308;355030805;ARTUR ALVIM;5;Artur Alvim;1;1
3550308;355030806;BARRA FUNDA;6;Barra Funda;1;1
3550308;355030807;BELA VISTA;7;Bela Vista;1;1
3550308;355030808;BELÉM;8;Belém;1;1
3550308;355030809;BOM RETIRO;9;Bom Retiro;1;1
3550308;355030810;BRÁS;10;Brás;1;1
3550308;355030811;BRASILÂNDIA;11;Brasilândia;1;1
3550308;355030812;BUTANTÃ;12;Butantã;1;1
3550308;355030813;CACHOEIRINHA;13;Cachoeirinha;1;1
3550308;355030814;CAMBUCI;14;Cambuci;1;1
3550308;355030815;CAMPO BELO;15;Campo Belo;1;1
3550308;355030816;CAMPO GRANDE;16;Campo Grande;1;1
3550308;355030817;CAMPO LIMPO;17;Campo Limpo;1;1
3550308;355030818;CANGAIBA;18;Cangaíba;1;0
3550308;355030819;CAPÃO REDONDO;19;Capão Redondo;1;1
3550308;355030820;CARRÃO;20;Carrão;1;1
3550308;355030821;CASA VERDE;21;Casa Verde;1;1
3550308;355030822;CIDADE ADEMAR;22;Cidade Ademar;1;1
3550308;355030823;CIDADE DUTRA;23;Cidade Dutra;1;1
3550308;355030824;CIDADE LIDER;24;Cidade Líder;1;0
3550308;355030825;CIDADE TIRADENTES;25;Cidade Tiradentes;1;1
3550308;355030826;CONSOLAÇÃO;26;Consolação;1;1
3550308;355030827;CURSINO;27;Cursino;1;1
3550308;355030828;ERMELINO MATARAZZO;28;Ermelino Matarazzo;1;1
3550308;355030829;FREGUESIA DO Ó;29;Freguesia do Ó;1;1
3550308;355030830;GRAJAÚ;30;Grajaú;1;1
3550308;355030831;GUAIANASES;31;Guaianases;1;1
3550308;355030832;MOEMA;53;Moema;0;1
3550308;355030833;IGUATEMI;32;Iguatemi;1;1
3550308;355030834;IPIRANGA;33;Ipiranga;1;1
3550308;355030835;ITAIM BIBI;34;Itaim Bibi;1;1
3550308;355030836;ITAIM PAULISTA;35;Itaim Paulista;1;1
3550308;355030837;ITAQUERA;36;Itaquera;1;1
3550308;355030838;JABAQUARA;37;Jabaquara;1;1
3550308;355030839;JAÇANÃ;38;Jaçanã;1;1
3550308;355030840;JAGUARA;39;Jaguara;1;1
3550308;355030841;JAGUARÉ;40;Jaguaré;1;1
3550308;355030842;JARAGUÁ;41;Jaraguá;1;1
3550308;355030843;JARDIM ÂNGELA;42;Jardim Ângela;1;1
3550308;355030844;JARDIM HELENA;43;Jardim Helena;1;1
3550308;355030845;JARDIM PAULISTA;44;Jardim Paulista;1;1
3550308;355030846;JARDIM SÃO LUÍS;45;Jardim São Luís;1;1
3550308;355030847;JOSÉ BONIFÁCIO;46;José Bonifácio;1;1
3550308;355030848;LAPA;48;Lapa;1;1
3550308;355030849;LIBERDADE;49;Liberdade;1;1
3550308;355030850;LIMÃO;50;Limão;1;1
3550308;355030851;MANDAQUI;51;Mandaqui;1;1
3550308;355030852;MARSILAC;52;Marsilac;1;1
3550308;355030853;MOOCA;54;Mooca;1;1
3550308;355030854;MORUMBI;55;Morumbi;1;1
3550308;355030855;PARELHEIROS;56;Parelheiros;1;1
3550308;355030856;PARI;57;Pari;1;1
3550308;355030857;PARQUE DO CARMO;58;Parque do Carmo;1;1
3550308;355030858;PEDREIRA;59;Pedreira;1;1
3550308;355030859;PENHA;60;Penha;1;1
3550308;355030860;PERDIZES;61;Perdizes;1;1
3550308;355030861;PERUS;62;Perus;1;1
3550308;355030862;PINHEIROS;63;Pinheiros;1;1
3550308;355030863;PIRITUBA;64;Pirituba;1;1
3550308;355030864;PONTE RASA;65;Ponte Rasa;1;1
3550308;355030865;RAPOSO TAVARES;66;Raposo Tavares;1;1
3550308;355030866;REPÚBLICA;67;República;1;1
3550308;355030867;RIO PEQUENO;68;Rio Pequeno;1;1
3550308;355030868;SACOMÃ;69;Sacomã;1;1
3550308;355030869;SANTA CECÍLIA;70;Santa Cecília;1;1
3550308;355030870;SANTANA;71;Santana;1;1
3550308;355030871;SANTO AMARO;72;Santo Amaro;1;1
3550308;355030872;SÃO LUCAS;74;São Lucas;1;1
3550308;355030873;SÃO MATEUS;75;São Mateus;1;1
3550308;355030874;SÃO MIGUEL;76;São Miguel;1;1
3550308;355030875;SÃO RAFAEL;77;São Rafael;1;1
3550308;355030876;SAPOPEMBA;78;Sapopemba;1;1
3550308;355030877;SAÚDE;79;Saúde;1;1
3550308;355030878;SÉ;80;Sé;1;1
3550308;355030879;SOCORRO;81;Socorro;1;1
3550308;355030880;TATUAPÉ;82;Tatuapé;1;1
3550308;355030881;TREMEMBÉ;83;Tremembé;1;1
3550308;355030882;TUCURUVI;84;Tucuruvi;1;1
3550308;355030883;VILA ANDRADE;85;Vila Andrade;1;1
3550308;355030884;VILA CURUÇÁ;86;Vila Curuçá;1;1
3550308;355030885;VILA FORMOSA;87;Vila Formosa;1;1
3550308;355030886;VILA GUILHERME;88;Vila Guilherme;1;1
3550308;355030887;VILA JACUÍ;89;Vila Jacuí;1;1
3550308;355030888;VILA LEOPOLDINA;90;Vila Leopoldina;1;1
3550308;355030889;VILA MARIA;91;Vila Maria;1;1
3550308;355030890;VILA MARIANA;92;Vila Mariana;1;1
3550308;355030891;VILA MATILDE;93;Vila Matilde;1;1
3550308;355030892;VILA MEDEIROS;94;Vila Medeiros;1;1
3550308;355030893;VILA PRUDENTE;95;Vila Prudente;1;1
3550308;355030894;VILA SÔNIA;96;Vila Sônia;1;1
3550308;355030895;SÃO DOMINGOS;73;São Domingos;0;1
3550308;355030896;LAJEADO;47;Lajeado;0;1
3503901;;ARUJÁ;97;Arujá;1;1
3505708;;BARUERI;98;Barueri;1;1
3506607;;BIRITIBA-MIRIM;99;Biritiba-Mirim;1;1
3509007;;CAIEIRAS;100;Caieiras;1;1
3509205;;CAJAMAR;101;Cajamar;1;1
3510609;;CARAPICUÍBA;102;Carapicuíba;1;1
3513009;;COTIA;103;Cotia;1;1
3513801;;DIADEMA;104;Diadema;1;1
3515004;;EMBU;105;Embu das Artes;1;0
3515103;;EMBU-GUAÇU;106;Embu-Guaçu;1;1
3515707;;FERRAZ DE VASCONCELOS;107;Ferraz de Vasconcelos;1;1
3516309;;FRANCISCO MORATO;108;Francisco Morato;1;1
3516408;;FRANCO DA ROCHA;109;Franco da Rocha;1;1
3518305;;GUARAREMA;110;Guararema;1;1
3518800;;GUARULHOS;111;Guarulhos;1;1
3522208;;ITAPECERICA DA SERRA;112;Itapecerica da Serra;1;1
3522505;;ITAPEVI;113;Itapevi;1;1
3523107;;ITAQUAQUECETUBA;114;Itaquaquecetuba;1;1
3525003;;JANDIRA;115;Jandira;1;1
3526209;;JUQUITIBA;116;Juquitiba;1;1
3528502;;MAIRIPORÃ;117;Mairiporã;1;1
3529401;;MAUÁ;118;Mauá;1;1
3530607;;MOGI DAS CRUZES;119;Mogi das Cruzes;1;1
3534401;;OSASCO;120;Osasco;1;1
3539103;;PIRAPORA DO BOM JESUS;121;Pirapora do Bom Jesus;1;1
3539806;;POÁ;122;Poá;1;1
3543303;;RIBEIRÃO PIRES;123;Ribeirão Pires;1;1
3544103;;RIO GRANDE DA SERRA;124;Rio Grande da Serra;1;1
3545001;;SALESÓPOLIS;125;Salesópolis;1;1
3546801;;SANTA ISABEL;126;Santa Isabel;1;1
3547304;;SANTANA DE PARNAÍBA;127;Santana de Parnaíba;1;1
3547809;;SANTO ANDRÉ;128;Santo André;1;1
3548708;;SÃO BERNARDO DO CAMPO;129;São Bernardo do Campo;1;1
3548807;;SÃO CAETANO DO SUL;130;São Caetano do Sul;1;1
3549953;;SÃO LOURENÇO DA SERRA;131;São Lourenço da Serra;1;1
3552502;;SUZANO;132;Suzano;1;1
3552809;;TABOÃO DA SERRA;133;Taboão da Serra;1;1
3556453;;VARGEM GRANDE PAULISTA;134;Vargem Grande Paulista;1;1
